propertyid,price,township,neighborhood,censustract,community,zipcode,homeowner,white,black,asian,hispanic,college,medhinc,poverty,walls,rooms,beds,basement,basementfin,centralheat,otherheat,ac,fireplaces,attic,atticfin,fullbathrooms,halfbathrooms,garagesize,garageconstruction,garageattached,porch,squarefoot,age
774,239500,"24","2424",740100,"Mount Greenwood",60655,1,.9386483,.0150919,.0318241,.0902231,.2322795,81151,.021631,"Masonry",5,3,"Full basement","Unfinished","Warm air","None","No",0,"None",0,1,0,0,"N/A",0,"N/A",988,49
775,385000,"13","1314",160501,"Irving Park",60618,1,.4918816,.0472779,.3732092,.6382521,.1431402,37260,.267863,"Wood frame and masonry",5,3,"Full basement","Unfinished","Warm air","None","No",0,"Full","Unfinished",2,0,2,"Wood frame","No","N/A",780,107
776,2357500,"20","2011",390500,"Kenwood",60615,1,.2290363,.6889862,.0494368,.0306633,.3652174,44962,.175201,"Masonry",15,7,"Full basement","Unfinished","Warm air","None","Yes",2,"Full","Unfinished",4,1,2,"Wood frame","No","N/A",6986,106
777,604000,"13","1324",210100,"Avondale",60618,0,.5973188,.0263158,.3120655,.5434459,.1921691,62545,.133317,"Wood frame",5,3,"Full basement","Unfinished","Warm air","None","No",0,"Full","Unfinished",1,0,1.5,"Wood frame","No","Wood",1119,102
778,620000,"14","1407",31000,"Uptown",60640,0,.7314004,.0454048,.1742341,.2281182,.50577,63433,.073515,"Wood frame",6,3,"Full basement","Unfinished","Warm air","None","No",0,"Full","Living area",1,0,0,"N/A",0,"N/A",1233,104
779,410000,"13","1316",150200,"Portage Park",60630,0,.7375332,.0234748,.190053,.3111406,.2421279,51205,.230523,"Wood frame",10,4,"Full basement","Formal rec-room","Warm air","None","Yes",1,"None",0,3,1,2,"Wood frame","No","N/A",2705,5
780,99000,"19","1913",835000,"Chicago Lawn",60629,1,.1542056,.6327449,.1926272,.3457944,.0346343,28991,.406651,"Masonry",6,3,"Full basement","Unfinished","Warm air","None","No",1,"None",0,1,0,2,"Wood frame","No","Wood",1232,87
781,295000,"13","1309",110400,"Jefferson Park",60630,1,.8051471,.0128676,.1413143,.2070313,.2070465,52155,.0398,"Wood frame",5,3,"Full basement","Formal rec-room","Warm air","None","Yes",0,"Full","Living area",1,0,2,"Wood frame","No","Wood",1152,98
782,325000,"12","1201",100500,"Norwood Park",60631,1,.8795639,.004499,.0873854,.1038242,.2007344,77679,.011016,"Masonry",7,4,"Full basement","Unfinished","Warm air","None","No",0,"Full","Living area",1,0,1.5,"Wood frame","No","N/A",1319,64
783,330000,"25","2506",720100,"Beverly",60643,1,.6266667,.3354546,.0157576,.0448485,.4893099,124435,.00406,"Wood frame and masonry",8,4,"Full basement","Formal rec-room","Warm air","None","No",1,"None",0,2,0,1,"Wood frame","No","N/A",2138,83
784,1025000,"17","1707",242900,"West Town",60612,1,.8041916,.0167665,.1491018,.2610779,.56013,47022,.169014,"Masonry",8,4,"Full basement","Formal rec-room","Warm air","None","Yes",1,"None",0,2,0,2,"Masonry","No","N/A",2823,2
785,185000,"19","1926",661100,"Chicago Lawn",60629,0,.3046469,.4539896,.2172119,.4709569,.0822754,45067,.177085,"Masonry",5,2,"Full basement","Unfinished","Warm air","None","Yes",0,"None",0,1,0,2,"Wood frame","No","N/A",989,50
786,237756,"13","1321",150700,"Portage Park",60641,1,.7000868,.0190972,.2361111,.4275174,.123634,58293,.086985,"Wood frame",5,2,"Full basement","Unfinished","Warm air","None","No",0,"Full","Living area",1,0,2,"Wood frame","No","Wood",1030,93
787,130000,"19","1921",640700,"Clearing",60638,1,.745564,.0136248,.1989861,.5576679,.1140781,59162,.059093,"Masonry",4,2,"Full basement","Unfinished","Warm air","None","No",0,"None",0,1,0,2,"Wood frame","No","N/A",891,66
788,1075000,"14","1430",70700,"Lincoln Park",60614,1,.7945992,.060902,.117495,.1157713,.4702137,106071,.119448,"Masonry",8,4,"Partial basement","Formal rec-room","Warm air","None","Yes",1,"None",0,2,1,2,"Masonry","No","N/A",2517,4
789,476000,"13","1336",832400,"Logan Square",60647,1,.684376,.0418108,.2194279,.469978,.3861806,81667,.202899,"Masonry",5,2,"Partial basement","Formal rec-room","Warm air","None","Yes",0,"None",0,1,1,2,"Masonry","Yes","N/A",1454,7
790,245000,"24","2414",740300,"Mount Greenwood",60655,1,.9582007,.0116698,.0157013,.0649268,.2235371,87268,.004164,"Masonry",4,2,"Full basement","Unfinished","Warm air","None","No",0,"None",0,1,0,2.5,"Wood frame","No","N/A",983,58
791,391000,"25","2507",720200,"Beverly",60643,1,.3976594,.558516,.0134462,.0413347,.2850174,69701,.140534,"Wood frame",7,4,"Full basement","Unfinished","Warm air","None","No",0,"Partial","Living area",2,1,1,"Wood frame","No","N/A",2456,116
792,163000,"16","1603",842100,"Humboldt Park",60651,1,.1840737,.5982766,.1813995,.3806269,.038157,27443,.354272,"Wood frame",6,3,"Full basement","Unfinished","Warm air","None","Yes",0,"None",0,1,1,0,"N/A",0,"N/A",1449,15
793,140000,"19","1914",650100,"West Lawn",60629,1,.5571013,.0355066,.3693937,.8461379,.0383361,41332,.190457,"Masonry",6,3,"Full basement","Unfinished","Warm air","None","No",0,"None",0,1,0,0,"N/A",0,"N/A",1337,52
794,825000,"17","1722",330100,"Near South Side",60616,0,.5443681,.2632805,.1630117,.0606513,.5422633,71563,.121878,"Masonry",6,3,"Partial basement","Unfinished","Warm air","None","Yes",1,"None",0,2,0,2,"Masonry","Yes","N/A",2265,3
795,740000,"14","1417",60100,"Lake View",60613,1,.8703776,.0299728,.0696769,.121448,.5480039,96094,.078286,"Masonry",7,4,"Slab basement","Unfinished","Warm air","None","Yes",0,"None",0,3,0,2,"Masonry","Yes","N/A",2640,10
796,149900,"20","2030",710400,"Auburn Gresham",60620,0,.0051318,.9826579,.0026544,.009025,.0852172,33650,.271281,"Masonry",5,3,"Full basement","Unfinished","Warm air","Unit heater","No",1,"Full","Unfinished",2,0,2,"Wood frame","No","Wood",1280,85
797,655000,"17","1720",841900,"Near West Side",60608,0,.5346351,.1675231,.2495375,.1013361,.3962868,88226,.167715,"Masonry",6,3,"Slab basement","Unfinished","Warm air","None","Yes",0,"None",0,2,1,2,"Masonry","Yes","Wood",2254,1
798,162000,"25","2511",500100,"Pullman",60628,1,.0065862,.9802415,.0021954,.0098793,.0940656,47381,.145248,"Wood frame and masonry",6,4,"Full basement","Formal rec-room","Warm air","Unit heater","No",0,"None",0,2,0,0,"N/A",0,"Wood",912,60
799,1300000,"13","1325",220400,"Logan Square",60647,0,.7498998,.0344689,.1651303,.3603206,.448583,57639,.131579,"Wood frame",7,5,"Slab basement","Unfinished","Warm air","None","No",0,"None",0,3,0,1,"Wood frame","No","N/A",2846,101
800,300500,"13","1327",200200,"Hermosa",60639,0,.428045,.0506726,.4752165,.8660402,.0475713,44868,.160576,"Masonry",8,4,"Full basement","Unfinished","Steam","None","No",0,"Full","Living area",2,0,2.5,"Wood frame","No","Masonry",2129,78
801,250000,"13","1309",110501,"Jefferson Park",60630,1,.737659,.0144428,.2095279,.2353956,.2549266,62552,.036688,"Wood frame",8,3,"Full basement","Formal rec-room","Warm air","None","No",0,"Full","Living area",1,1,0,"N/A",0,"N/A",1515,79
802,176000,"12","1225",170900,"Dunning",60707,1,.765324,.012843,.1751314,.2883829,.1032672,59782,.049008,"Masonry",5,2,"Full basement","Unfinished","Warm air","None","Yes",0,"None",0,1,0,1.5,"Wood frame","No","N/A",850,70
803,284500,"16","1613",282700,"Near West Side",60612,0,.2690507,.4499787,.2452107,.2622392,.2641121,54602,.26576,"Wood frame",5,3,"Slab basement","Unfinished","Warm air","None","No",0,"None",0,2,0,0,"N/A",0,"N/A",1614,118
804,1069500,"14","1432",832500,"Lincoln Park",60614,1,.838325,.0684969,.063228,.0757072,.419888,61484,.242017,"Masonry",10,4,"Full basement","Formal rec-room","Warm air","None","Yes",0,"None",0,3,1,2,"Masonry","No","N/A",3888,121
805,678500,"14","1418",830800,"Lincoln Square",60640,1,.7745713,.0434964,.1434546,.1723128,.5807132,57887,.086938,"Masonry",5,3,"Partial basement","Formal rec-room","Warm air","None","Yes",1,"None",0,2,1,2,"Masonry","Yes","N/A",1700,4
806,710000,"10","1032",120100,"Forest Glen",60646,1,.9023345,.0061934,.0678895,.0702716,.4396083,103929,.031677,"Masonry",6,3,"Full basement","Formal rec-room","Steam","None","No",1,"Partial","Unfinished",1,1,2,"Masonry","Yes","Wood",1338,53
807,495000,"13","1313",140800,"Albany Park",60625,1,.6413187,.0335531,.2776557,.407326,.3293261,67880,.147558,"Wood frame and masonry",6,4,"Partial basement","Formal rec-room","Steam","Unit heater","No",0,"Partial","Unfinished",2,1,2,"Wood frame","No","N/A",1976,86
808,1070000,"14","1431",222200,"Logan Square",60647,0,.8483264,.0245816,.0957113,.1453975,.6753995,114038,.053445,"Wood frame and masonry",7,4,"Full basement","Unfinished","Warm air","None","No",0,"Full","Living area",1,0,2,"Wood frame","No","N/A",1652,142
809,200000,"13","1317",150501,"Portage Park",60630,0,.8149671,.0054825,.147204,.2154605,.2042389,73102,.069364,"Masonry",5,3,"Full basement","Unfinished","Warm air","None","Yes",0,"None",0,1,0,2,"Wood frame","No","N/A",1070,55
810,236000,"13","1332",191301,"Belmont Cragin",60639,1,.3789142,.1011673,.476561,.8354641,.0373881,37214,.269967,"Wood frame",9,3,"Full basement","Unfinished","Steam","None","No",1,"Full","Living area",2,0,2,"Wood frame","No","Wood",1524,80
